Queries,No of Overlapping Results,Percent Overlap,Spearmen
A two dollar bill from 1953 is worth what,3,30.0,0.0
What is franky jonas 's favorite color,2,20.0,-52.0
Is there an emergency action plan,0,0.0,0.0
How much does medical insurance cost for a single person,2,20.0,-12.0
What is noah cyrus address so you can send her a fan mail,0,0.0,0.0
Have many points did wayne getzky get,3,30.0,-9.25
How wide can vagina 's get,2,20.0,-4.0
Calories in a lollipop,3,30.0,-10.5
Pdf password cracker v 3.1 registration key,0,0.0,0.0
Another name for karyokinesis,2,20.0,-64.0
What continent you indonesia on,5,50.0,-0.2
Do deers live in savanna,1,10.0,0.0
What did lice cause in ww1,6,60.0,-0.286
What women invented the brush,3,30.0,-4.0
What is the order of electromagnetic radiation decreasing frequency,1,10.0,0.0
New tropicana advert,0,0.0,0.0
Where did siddartha Gautama live and teach,2,20.0,-52.0
2003 GMC yukon ignition,0,0.0,0.0
What is the value of 1928 us 50 bill,4,40.0,-0.9
Where is alpha amylase released,3,30.0,-12.5
Which Band did Krauss join,2,20.0,-1.0
What is the use of fruits,0,0.0,0.0
Where do sugar gliders like to live,1,10.0,0.0
How many championships have lakers,2,20.0,-4.0
What are china major rivers and deserts,3,30.0,-5.5
What do dholes eat,5,50.0,-0.3
Stereo wiring diagram for a 1991 Toyota Camry,0,0.0,0.0
Names of divine horses on howrse,3,30.0,0.5
What is the population of teachers in the US,1,10.0,0.0
How did Fidel V Ramos campaigned,1,10.0,0.0
What are this 13 systems of human body,2,20.0,-3.0
What are the Flickertail 's eating habits,1,10.0,0.0
What kind of money does croatia have,1,10.0,0.0
What do our circulatory system includes,2,20.0,-12.0
A vaccination produces what kind of immunity,0,0.0,0.0
Where does Justin Timbelake live,1,10.0,0.0
Is corllins university a credited legal college,2,20.0,-25.0
What is a myocaridal infaraction,3,30.0,-12.5
When did bobsledding first enter,2,20.0,1.0
500 mg of cinnamon equal how many teaspoons,0,0.0,0.0
How many religions in spain,3,30.0,-12.5
How many lice did bob marly have,2,20.0,0.0
What were the domsetic consequences of world war 1,2,20.0,-64.0
What is the meaning of multitasking and multiuser operating system,0,0.0,0.0
The sun and the celestial bodies that orbit the sunincluding planets satellites asteroids comets dust and gas,1,10.0,0.0
Tell you about vampire bats,1,10.0,0.0
Specifying categories,0,0.0,0.0
How much does a rookie card of babe ruth cost,1,10.0,0.0
So what is fair trade,2,20.0,-17.0
What is the secret ingredient of coke,2,20.0,-3.0
When and how did Slobodan Milosevic die,1,10.0,0.0
What do teardrop tattoos on your eyes symbolize,2,20.0,-7.0
What colors can a Yorkie be,0,0.0,0.0
On neopets how can you put a code in a scroll box without the code being in the same box as another,2,20.0,-1.0
How much does it cost to rent a limo for the day in Madison WI,1,10.0,0.0
Where is the 50 story eiffel tower located,2,20.0,-1.0
What is the length of an amtrak train,1,10.0,0.0
Where to give ideas for an invention,0,0.0,0.0
You are a big fan or shakira how you can send her a letter,2,20.0,-4.0
Code to beanie babies,1,10.0,0.0
How much is s in roman numerals,3,30.0,-19.75
What is the origin of the mineral silver,6,60.0,-2.857
What is the principle behind the bluetooth,3,30.0,-10.0
What is transmission spectrum,2,20.0,-15.0
How many nutrons does radon have,2,20.0,-51.0
What color is rihanna eyes,2,20.0,-9.0
Who invented metal coil thermometer,2,20.0,1.0
How did Rome really begin,5,50.0,-3.9
What part of california do corbin live in,3,30.0,-13.75
What is the instrument called that is used to measure tornado 's,3,30.0,-7.25
How does the future look on being a lawyer,0,0.0,0.0
How do you adjust brightness on your laptop,2,20.0,-7.0
Whenwhere did william morris die,3,30.0,-6.5
How do sanction help to keep the global community safe and secure,0,0.0,0.0
What is the function of command xargs in linux,2,20.0,-39.0
How does air pollution affect the food webs,1,10.0,0.0
What was the name of the Prime Minister in Fiji in 2009,4,40.0,0.7
What kind of meaning do proverbs have,1,10.0,0.0
How many planet,0,0.0,0.0
What is filters harmful substances from lymph,1,10.0,0.0
How did park yong ha died,2,20.0,-1.0
How did people make dresses in colonial times,1,10.0,0.0
How many liters are in a cup of milk,1,10.0,0.0
How much does marijuana coast per ounce,0,0.0,0.0
What is the purpose of a steak plate,2,20.0,-28.0
What is the name of the four sperm cells,3,30.0,-11.25
What is the longitudes of delhi,2,20.0,-15.0
How is columbia related to venezuela,0,0.0,0.0
Fiona wood what is she famous for,2,20.0,1.0
What sounds does brakes make,1,10.0,0.0
What nationality are the people in germany,4,40.0,-3.3
What niche do plants have,0,0.0,0.0
How many gold medals did mia hamm earn,3,30.0,-1.75
What did Roger Bannister,4,40.0,0.6
How much does a medical abortion cost at three weeks,0,0.0,0.0
What is rank 2nd in populated city,1,10.0,0.0
What do mexicans houses look like,0,0.0,0.0
64 millilitres how many litres,1,10.0,0.0
You want to text dirty with your boyfriend what should you say,0,0.0,0.0
Can you give me example of anecdotes by the filipino writers,0,0.0,0.0
